city_code,date_created,type_of,forecast,temperature,realfeel,wind,gusts
188670,2018-12-01,Day,Hazy sunshine,28,30,ESE 7 km/h, 20 km/h
188670,2018-12-01,Night,Hazy,14,13,NE 7 km/h, 11 km/h
3266341,2018-12-01,Day,Hazy sunshine,30,31,NW 7 km/h, 13 km/h
3266341,2018-12-01,Night,Hazy,14,14,NNW 7 km/h, 11 km/h
3262005,2018-12-01,Day,Hazy sunshine,28,30,NNW 7 km/h, 11 km/h
3262005,2018-12-01,Night,Hazy,10,11,S 6 km/h, 9 km/h
3352122,2018-12-01,Day,Sunshine; beautiful,25,26,WNW 7 km/h, 24 km/h
3352122,2018-12-01,Night,Clear to partly cloudy,11,12,SSW 4 km/h, 6 km/h
186917,2018-12-01,Day,Hazy sun,29,31,NE 6 km/h, 13 km/h
186917,2018-12-01,Night,Hazy,12,12,NE 7 km/h, 9 km/h
3352214,2018-12-01,Day,Intervals of clouds and sunshine; pleasant,28,31,NE 6 km/h, 30 km/h
3352214,2018-12-01,Night,Patchy clouds,15,15,E 7 km/h, 13 km/h
3028347,2018-12-01,Day,Sunny much of the time; pleasant,12,16,NNE 2 km/h, 9 km/h
3028347,2018-12-01,Night,Clear to partly cloudy,0,1,NNE 4 km/h, 7 km/h
198442,2018-12-01,Day,Hazy sun,27,28,N 7 km/h, 15 km/h
198442,2018-12-01,Night,Hazy,12,12,NNE 7 km/h, 13 km/h
191524,2018-12-01,Day,"Some sun, then increasing clouds",28,30,NNW 7 km/h, 15 km/h
191524,2018-12-01,Night,Partly cloudy,18,18,Calm 0 km/h, 7 km/h
188523,2018-12-01,Day,"Plenty of sun, pleasant; warm this afternoon",21,22,W 4 km/h, 9 km/h
188523,2018-12-01,Night,Patchy clouds,5,7,ENE 6 km/h, 7 km/h
3324399,2018-12-01,Day,Hazy sunshine; very warm,36,35,E 13 km/h, 28 km/h
3324399,2018-12-01,Night,Hazy,21,20,WNW 7 km/h, 13 km/h
70,2018-12-01,Day,"Considerable cloudiness, showers",30,35,E 9 km/h, 32 km/h
70,2018-12-01,Night,"Partly cloudy, warm; a stray shower late",25,30,E 6 km/h, 11 km/h
3323275,2018-12-01,Day,"Rather cloudy; a couple of morning thunderstorms around, then a thunderstorm in parts of the area",29,34,E 11 km/h, 28 km/h
3323275,2018-12-01,Night,"Partly cloudy, very warm; a stray shower late",27,32,E 9 km/h, 13 km/h
3323468,2018-12-01,Day,"Considerable cloudiness, showers",30,35,E 9 km/h, 32 km/h
3323468,2018-12-01,Night,"Partly cloudy, warm; a stray shower late",25,30,E 6 km/h, 11 km/h
187218,2018-12-01,Day,Hazy sun,29,30,W 7 km/h, 13 km/h
187218,2018-12-01,Night,Hazy,12,14,NNW 6 km/h, 9 km/h
357142,2018-12-01,Day,Sunshine and patchy clouds,20,23,NE 6 km/h, 11 km/h
357142,2018-12-01,Night,Clear; chilly,4,4,WNW 6 km/h, 9 km/h
3085153,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
3085153,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
890532,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
890532,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
2072516,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
2072516,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
3085156,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
3085156,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
2072514,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
2072514,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
3085155,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
3085155,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
3085157,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
3085157,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
3085149,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
3085149,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
3085148,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
3085148,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
3085154,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
3085154,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
3085151,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
3085151,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
2072513,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
2072513,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
3085152,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
3085152,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
197791,2018-12-01,Day,Hazy sunshine,33,33,ENE 9 km/h, 20 km/h
197791,2018-12-01,Night,Hazy,15,16,NNE 7 km/h, 13 km/h
202350,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
202350,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
2072518,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
2072518,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
2072519,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
2072519,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
2072522,2018-12-01,Day,Mostly sunny,24,25,NW 9 km/h, 22 km/h
2072522,2018-12-01,Night,Mainly clear,10,10,ENE 4 km/h, 7 km/h
3323570,2018-12-01,Day,"Considerable cloudiness, a brief shower or two this afternoon",30,35,E 11 km/h, 28 km/h
3323570,2018-12-01,Night,Partly cloudy; humid,26,31,ENE 7 km/h, 11 km/h
3323303,2018-12-01,Day,"A thunderstorm around this morning; otherwise, times of clouds and sun",31,37,ESE 11 km/h, 35 km/h
3323303,2018-12-01,Night,"A thunderstorm in spots this evening; otherwise, mostly cloudy",26,30,ENE 6 km/h, 9 km/h
3323405,2018-12-01,Day,"Intervals of clouds and sunshine, a thunderstorm in the area",31,37,ESE 13 km/h, 39 km/h
3323405,2018-12-01,Night,"Patchy clouds, a passing shower; very warm",27,29,ESE 7 km/h, 11 km/h
